date,product,region,units_sold,unit_price,discount,revenue
2025-01-04,Router,North,17,80,0.05,1292.0
2025-01-04,Router,South,12,80,0.1,864.0
2025-01-04,Router,East,10,80,0.1,720.0
2025-01-04,Webcam,West,7,55,0.05,365.75
2025-01-04,Webcam,North,9,55,0.0,495.0
2025-01-04,Webcam,South,11,55,0.05,574.75
2025-01-04,Webcam,East,12,55,0.0,660.0
2025-01-05,Laptop,West,8,650,0.1,4680.0
2025-01-05,Laptop,North,9,650,0.0,5850.0
2025-01-05,Laptop,South,8,650,0.05,4940.0
2025-01-05,Laptop,East,10,650,0.0,6500.0
2025-01-05,Monitor,West,18,220,0.0,3960.0
2025-01-05,Monitor,North,14,220,0.05,2926.0
2025-01-05,Monitor,South,4,220,0.0,880.0
2025-01-05,Monitor,East,10,220,0.1,1980.0
2025-01-05,Keyboard,West,19,45,0.05,812.25
2025-01-05,Keyboard,North,18,45,0.05,769.5
2025-01-05,Keyboard,South,11,45,0.05,470.25
2025-01-05,Keyboard,East,18,45,0.0,810.0
2025-01-05,Mouse,West,30,25,0.0,750.0
2025-01-05,Mouse,North,28,25,0.15,595.0
2025-01-05,Mouse,South,17,25,0.0,425.0
2025-01-05,Mouse,East,28,25,0.05,665.0
2025-01-05,Headset,West,10,60,0.0,600.0
2025-01-05,Headset,North,12,60,0.0,720.0
2025-01-05,Headset,South,14,60,0.05,798.0
2025-01-05,Headset,East,12,60,0.05,684.0
2025-01-05,Printer,West,7,180,0.0,1260.0
2025-01-05,Printer,North,3,180,0.0,540.0
2025-01-05,Printer,South,2,180,0.0,360.0
2025-01-05,Printer,East,5,180,0.05,855.0
2025-01-05,Router,West,15,80,0.0,1200.0
2025-01-05,Router,North,12,80,0.0,960.0
2025-01-05,Router,South,7,80,0.0,560.0
2025-01-05,Router,East,11,80,0.0,880.0
2025-01-05,Webcam,West,9,55,0.0,495.0
2025-01-05,Webcam,North,13,55,0.0,715.0
2025-01-05,Webcam,South,5,55,0.1,247.5
2025-01-05,Webcam,East,6,55,0.05,313.5
2025-01-06,Laptop,West,6,650,0.1,3510.0
2025-01-06,Laptop,North,9,650,0.0,5850.0
2025-01-06,Laptop,South,6,650,0.05,3705.0
2025-01-06,Laptop,East,8,650,0.05,4940.0
2025-01-06,Monitor,West,13,220,0.1,2574.0
2025-01-06,Monitor,North,5,220,0.05,1045.0
2025-01-06,Monitor,South,10,220,0.1,1980.0
2025-01-06,Monitor,East,10,220,0.05,2090.0
2025-01-06,Keyboard,West,27,45,0.1,1093.5
2025-01-06,Keyboard,North,20,45,0.1,810.0
2025-01-06,Keyboard,South,13,45,0.0,585.0
2025-01-06,Keyboard,East,27,45,0.05,1154.25
2025-01-06,Mouse,West,38,25,0.05,902.5
2025-01-06,Mouse,North,25,25,0.1,562.5
2025-01-06,Mouse,South,20,25,0.0,500.0
2025-01-06,Mouse,East,28,25,0.0,700.0
2025-01-06,Headset,West,12,60,0.0,720.0
2025-01-06,Headset,North,10,60,0.1,540.0
2025-01-06,Headset,South,9,60,0.1,486.0
2025-01-06,Headset,East,14,60,0.0,840.0
2025-01-06,Printer,West,9,180,0.05,1539.0
2025-01-06,Printer,North,8,180,0.0,1440.0
2025-01-06,Printer,South,3,180,0.0,540.0
2025-01-06,Printer,East,7,180,0.0,1260.0
2025-01-06,Router,West,16,80,0.0,1280.0
2025-01-06,Router,North,22,80,0.05,1672.0
2025-01-06,Router,South,13,80,0.0,1040.0
2025-01-06,Router,East,11,80,0.1,792.0
2025-01-06,Webcam,West,9,55,0.15,420.75
2025-01-06,Webcam,North,11,55,0.05,574.75
2025-01-06,Webcam,South,11,55,0.0,605.0
2025-01-06,Webcam,East,7,55,0.1,346.5
2025-01-07,Laptop,West,19,650,0.1,11115.0
2025-01-07,Laptop,North,6,650,0.1,3510.0
2025-01-07,Laptop,South,4,650,0.15,2210.0
2025-01-07,Laptop,East,12,650,0.1,7020.0
2025-01-07,Monitor,West,14,220,0.0,3080.0
2025-01-07,Monitor,North,12,220,0.05,2508.0
2025-01-07,Monitor,South,9,220,0.0,1980.0
2025-01-07,Monitor,East,9,220,0.1,1782.0
2025-01-07,Keyboard,West,24,45,0.0,1080.0
2025-01-07,Keyboard,North,18,45,0.1,729.0
2025-01-07,Keyboard,South,19,45,0.0,855.0
2025-01-07,Keyboard,East,22,45,0.0,990.0
2025-01-07,Mouse,West,41,25,0.0,1025.0
2025-01-07,Mouse,North,36,25,0.05,855.0
2025-01-07,Mouse,South,21,25,0.15,446.25
2025-01-07,Mouse,East,25,25,0.0,625.0
2025-01-07,Headset,West,10,60,0.05,570.0
2025-01-07,Headset,North,11,60,0.05,627.0
2025-01-07,Headset,South,20,60,0.1,1080.0
2025-01-07,Headset,East,14,60,0.0,840.0
2025-01-07,Printer,West,8,180,0.05,1368.0
2025-01-07,Printer,North,5,180,0.0,900.0
2025-01-07,Printer,South,4,180,0.05,684.0
2025-01-07,Printer,East,4,180,0.0,720.0
2025-01-07,Router,West,16,80,0.05,1216.0
2025-01-07,Router,North,15,80,0.0,1200.0
2025-01-07,Router,South,13,80,0.0,1040.0
2025-01-07,Router,East,4,80,0.0,320.0
2025-01-07,Webcam,West,6,55,0.05,313.5
2025-01-07,Webcam,North,6,55,0.1,297.0
2025-01-07,Webcam,South,8,55,0.1,396.0
2025-01-07,Webcam,East,8,55,0.0,440.0
2025-01-08,Laptop,West,14,650,0.05,8645.0
2025-01-08,Laptop,North,3,650,0.1,1755.0
2025-01-08,Laptop,South,8,650,0.0,5200.0
2025-01-08,Laptop,East,12,650,0.05,7410.0
2025-01-08,Monitor,West,17,220,0.0,3740.0
2025-01-08,Monitor,North,20,220,0.1,3960.0
2025-01-08,Monitor,South,10,220,0.05,2090.0
2025-01-08,Monitor,East,9,220,0.0,1980.0
2025-01-08,Keyboard,West,17,45,0.0,765.0
2025-01-08,Keyboard,North,19,45,0.1,769.5
2025-01-08,Keyboard,South,16,45,0.05,684.0
2025-01-08,Keyboard,East,22,45,0.0,990.0
2025-01-08,Mouse,West,32,25,0.1,720.0
2025-01-08,Mouse,North,31,25,0.1,697.5
2025-01-08,Mouse,South,18,25,0.0,450.0
2025-01-08,Mouse,East,16,25,0.1,360.0
2025-01-08,Headset,West,5,60,0.05,285.0
2025-01-08,Headset,North,19,60,0.05,1083.0
2025-01-08,Headset,South,3,60,0.15,153.0
2025-01-08,Headset,East,23,60,0.15,1173.0
2025-01-08,Printer,West,7,180,0.0,1260.0
2025-01-08,Printer,North,8,180,0.05,1368.0
2025-01-08,Printer,South,7,180,0.1,1134.0
2025-01-08,Printer,East,7,180,0.15,1071.0
2025-01-08,Router,West,15,80,0.1,1080.0
2025-01-08,Router,North,15,80,0.1,1080.0
2025-01-08,Router,South,12,80,0.05,912.0
2025-01-08,Router,East,19,80,0.1,1368.0
2025-01-08,Webcam,West,6,55,0.0,330.0
2025-01-08,Webcam,North,9,55,0.05,470.25
2025-01-08,Webcam,South,8,55,0.0,440.0
2025-01-08,Webcam,East,10,55,0.05,522.5
2025-01-09,Laptop,West,8,650,0.0,5200.0
2025-01-09,Laptop,North,8,650,0.0,5200.0
2025-01-09,Laptop,South,8,650,0.1,4680.0
2025-01-09,Laptop,East,10,650,0.1,5850.0
2025-01-09,Monitor,West,17,220,0.0,3740.0
2025-01-09,Monitor,North,13,220,0.1,2574.0
2025-01-09,Monitor,South,10,220,0.0,2200.0
2025-01-09,Monitor,East,12,220,0.05,2508.0
2025-01-09,Keyboard,West,17,45,0.05,726.75
2025-01-09,Keyboard,North,13,45,0.0,585.0
2025-01-09,Keyboard,South,16,45,0.05,684.0
2025-01-09,Keyboard,East,13,45,0.05,555.75
2025-01-09,Mouse,West,26,25,0.0,650.0
2025-01-09,Mouse,North,33,25,0.0,825.0
2025-01-09,Mouse,South,19,25,0.0,475.0
2025-01-09,Mouse,East,27,25,0.1,607.5
2025-01-09,Headset,West,11,60,0.1,594.0
2025-01-09,Headset,North,14,60,0.0,840.0
2025-01-09,Headset,South,9,60,0.15,459.0
2025-01-09,Headset,East,15,60,0.05,855.0
2025-01-09,Printer,West,6,180,0.05,1026.0
2025-01-09,Printer,North,7,180,0.0,1260.0
2025-01-09,Printer,South,7,180,0.1,1134.0
2025-01-09,Printer,East,5,180,0.0,900.0
2025-01-09,Router,West,15,80,0.1,1080.0
2025-01-09,Router,North,15,80,0.0,1200.0
2025-01-09,Router,South,12,80,0.05,912.0
2025-01-09,Router,East,22,80,0.15,1496.0
2025-01-09,Webcam,West,15,55,0.1,742.5
2025-01-09,Webcam,North,10,55,0.05,522.5
2025-01-09,Webcam,South,12,55,0.0,660.0
2025-01-09,Webcam,East,5,55,0.15,233.75
2025-01-10,Laptop,West,9,650,0.0,5850.0
2025-01-10,Laptop,North,7,650,0.0,4550.0
2025-01-10,Laptop,South,4,650,0.05,2470.0
2025-01-10,Laptop,East,11,650,0.0,7150.0
2025-01-10,Monitor,West,15,220,0.0,3300.0
2025-01-10,Monitor,North,10,220,0.0,2200.0
2025-01-10,Monitor,South,5,220,0.15,935.0
2025-01-10,Monitor,East,11,220,0.05,2299.0
2025-01-10,Keyboard,West,21,45,0.0,945.0
2025-01-10,Keyboard,North,18,45,0.0,810.0
2025-01-10,Keyboard,South,20,45,0.0,900.0
2025-01-10,Keyboard,East,18,45,0.1,729.0
2025-01-10,Mouse,West,35,25,0.05,831.25
2025-01-10,Mouse,North,25,25,0.1,562.5
2025-01-10,Mouse,South,23,25,0.05,546.25
2025-01-10,Mouse,East,35,25,0.05,831.25
2025-01-10,Headset,West,7,60,0.0,420.0
2025-01-10,Headset,North,15,60,0.05,855.0
2025-01-10,Headset,South,3,60,0.05,171.0
2025-01-10,Headset,East,6,60,0.0,360.0
2025-01-10,Printer,West,8,180,0.0,1440.0
2025-01-10,Printer,North,4,180,0.15,612.0
2025-01-10,Printer,South,5,180,0.05,855.0
2025-01-10,Printer,East,8,180,0.05,1368.0
2025-01-10,Router,West,18,80,0.0,1440.0
2025-01-10,Router,North,21,80,0.0,1680.0
2025-01-10,Router,South,12,80,0.05,912.0
2025-01-10,Router,East,23,80,0.0,1840.0
2025-01-10,Webcam,West,12,55,0.1,594.0
2025-01-10,Webcam,North,14,55,0.0,770.0
2025-01-10,Webcam,South,11,55,0.05,574.75
2025-01-10,Webcam,East,7,55,0.15,327.25
2025-01-11,Laptop,West,10,650,0.0,6500.0
2025-01-11,Laptop,North,7,650,0.0,4550.0
2025-01-11,Laptop,South,10,650,0.05,6175.0
2025-01-11,Laptop,East,8,650,0.05,4940.0
2025-01-11,Monitor,West,13,220,0.1,2574.0
2025-01-11,Monitor,North,8,220,0.05,1672.0
2025-01-11,Monitor,South,8,220,0.0,1760.0
2025-01-11,Monitor,East,10,220,0.0,2200.0
2025-01-11,Keyboard,West,23,45,0.15,879.75
2025-01-11,Keyboard,North,27,45,0.0,1215.0
2025-01-11,Keyboard,South,18,45,0.0,810.0
2025-01-11,Keyboard,East,18,45,0.0,810.0
2025-01-11,Mouse,West,31,25,0.0,775.0
2025-01-11,Mouse,North,24,25,0.0,600.0
2025-01-11,Mouse,South,20,25,0.0,500.0
2025-01-11,Mouse,East,38,25,0.0,950.0
2025-01-11,Headset,West,14,60,0.0,840.0
2025-01-11,Headset,North,12,60,0.05,684.0
2025-01-11,Headset,South,14,60,0.05,798.0
2025-01-11,Headset,East,6,60,0.0,360.0
2025-01-11,Printer,West,8,180,0.05,1368.0
2025-01-11,Printer,North,2,180,0.0,360.0
2025-01-11,Printer,South,4,180,0.05,684.0
2025-01-11,Printer,East,8,180,0.05,1368.0
2025-01-11,Router,West,13,80,0.05,988.0
2025-01-11,Router,North,13,80,0.0,1040.0
2025-01-11,Router,South,10,80,0.1,720.0
2025-01-11,Router,East,16,80,0.0,1280.0
2025-01-11,Webcam,West,11,55,0.05,574.75
2025-01-11,Webcam,North,11,55,0.05,574.75
2025-01-11,Webcam,South,5,55,0.1,247.5
2025-01-11,Webcam,East,10,55,0.05,522.5
2025-01-12,Laptop,West,13,650,0.05,8027.5
2025-01-12,Laptop,North,12,650,0.0,7800.0
2025-01-12,Laptop,South,6,650,0.1,3510.0
2025-01-12,Laptop,East,11,650,0.05,6792.5
2025-01-12,Monitor,West,12,220,0.1,2376.0
2025-01-12,Monitor,North,5,220,0.0,1100.0
2025-01-12,Monitor,South,14,220,0.0,3080.0
2025-01-12,Monitor,East,8,220,0.0,1760.0
2025-01-12,Keyboard,West,21,45,0.05,897.75
2025-01-12,Keyboard,North,20,45,0.1,810.0
2025-01-12,Keyboard,South,18,45,0.05,769.5
2025-01-12,Keyboard,East,17,45,0.0,765.0
2025-01-12,Mouse,West,24,25,0.0,600.0
2025-01-12,Mouse,North,32,25,0.05,760.0
2025-01-12,Mouse,South,26,25,0.0,650.0
2025-01-12,Mouse,East,22,25,0.0,550.0
2025-01-12,Headset,West,19,60,0.1,1026.0
2025-01-12,Headset,North,14,60,0.1,756.0
2025-01-12,Headset,South,13,60,0.0,780.0
2025-01-12,Headset,East,12,60,0.1,648.0
2025-01-12,Printer,West,5,180,0.05,855.0
2025-01-12,Printer,North,7,180,0.15,1071.0
2025-01-12,Printer,South,6,180,0.05,1026.0
2025-01-12,Printer,East,2,180,0.05,342.0
2025-01-12,Router,West,14,80,0.0,1120.0
2025-01-12,Router,North,12,80,0.0,960.0
2025-01-12,Router,South,15,80,0.1,1080.0
2025-01-12,Router,East,11,80,0.0,880.0
2025-01-12,Webcam,West,14,55,0.05,731.5
2025-01-12,Webcam,North,10,55,0.1,495.0
2025-01-12,Webcam,South,13,55,0.05,679.25
2025-01-12,Webcam,East,10,55,0.0,550.0
2025-01-13,Laptop,West,7,650,0.05,4322.5
2025-01-13,Laptop,North,3,650,0.0,1950.0
2025-01-13,Laptop,South,3,650,0.1,1755.0
2025-01-13,Laptop,East,8,650,0.05,4940.0
2025-01-13,Monitor,West,17,220,0.05,3553.0
2025-01-13,Monitor,North,8,220,0.0,1760.0
2025-01-13,Monitor,South,8,220,0.05,1672.0
2025-01-13,Monitor,East,4,220,0.0,880.0
2025-01-13,Keyboard,West,23,45,0.0,1035.0
2025-01-13,Keyboard,North,17,45,0.0,765.0
2025-01-13,Keyboard,South,11,45,0.1,445.5
2025-01-13,Keyboard,East,11,45,0.0,495.0
2025-01-13,Mouse,West,41,25,0.05,973.75
2025-01-13,Mouse,North,24,25,0.0,600.0
2025-01-13,Mouse,South,25,25,0.05,593.75
2025-01-13,Mouse,East,34,25,0.0,850.0
2025-01-13,Headset,West,20,60,0.05,1140.0
2025-01-13,Headset,North,8,60,0.0,480.0
2025-01-13,Headset,South,9,60,0.05,513.0
2025-01-13,Headset,East,4,60,0.05,228.0
2025-01-13,Printer,West,11,180,0.1,1782.0
2025-01-13,Printer,North,10,180,0.0,1800.0
2025-01-13,Printer,South,4,180,0.05,684.0
2025-01-13,Printer,East,5,180,0.05,855.0
2025-01-13,Router,West,15,80,0.15,1020.0
2025-01-13,Router,North,14,80,0.0,1120.0
2025-01-13,Router,South,13,80,0.05,988.0
2025-01-13,Router,East,26,80,0.0,2080.0
2025-01-13,Webcam,West,7,55,0.1,346.5
2025-01-13,Webcam,North,13,55,0.0,715.0
2025-01-13,Webcam,South,9,55,0.0,495.0
2025-01-13,Webcam,East,13,55,0.05,679.25
2025-01-14,Laptop,West,10,650,0.1,5850.0
2025-01-14,Laptop,North,8,650,0.15,4420.0
2025-01-14,Laptop,South,9,650,0.05,5557.5
2025-01-14,Laptop,East,13,650,0.1,7605.0
2025-01-14,Monitor,West,11,220,0.05,2299.0
2025-01-14,Monitor,North,16,220,0.05,3344.0
2025-01-14,Monitor,South,10,220,0.15,1870.0
2025-01-14,Monitor,East,9,220,0.05,1881.0
2025-01-14,Keyboard,West,16,45,0.1,648.0
2025-01-14,Keyboard,North,21,45,0.1,850.5
2025-01-14,Keyboard,South,18,45,0.05,769.5
2025-01-14,Keyboard,East,12,45,0.0,540.0
2025-01-14,Mouse,West,19,25,0.0,475.0
2025-01-14,Mouse,North,26,25,0.0,650.0
2025-01-14,Mouse,South,23,25,0.05,546.25
2025-01-14,Mouse,East,16,25,0.0,400.0
2025-01-14,Headset,West,12,60,0.0,720.0
2025-01-14,Headset,North,11,60,0.0,660.0
2025-01-14,Headset,South,11,60,0.05,627.0
2025-01-14,Headset,East,11,60,0.0,660.0
2025-01-14,Printer,West,8,180,0.1,1296.0
2025-01-14,Printer,North,7,180,0.0,1260.0
2025-01-14,Printer,South,4,180,0.05,684.0
2025-01-14,Printer,East,3,180,0.1,486.0
2025-01-14,Router,West,20,80,0.0,1600.0
2025-01-14,Router,North,13,80,0.1,936.0
2025-01-14,Router,South,11,80,0.1,792.0
2025-01-14,Router,East,14,80,0.0,1120.0
2025-01-14,Webcam,West,19,55,0.05,992.75
2025-01-14,Webcam,North,5,55,0.05,261.25
2025-01-14,Webcam,South,10,55,0.15,467.5
2025-01-14,Webcam,East,8,55,0.1,396.0
2025-01-15,Laptop,West,12,650,0.05,7410.0
2025-01-15,Laptop,North,7,650,0.05,4322.5
2025-01-15,Laptop,South,4,650,0.0,2600.0
2025-01-15,Laptop,East,6,650,0.05,3705.0
2025-01-15,Monitor,West,21,220,0.05,4389.0
2025-01-15,Monitor,North,8,220,0.1,1584.0
2025-01-15,Monitor,South,6,220,0.0,1320.0
2025-01-15,Monitor,East,14,220,0.0,3080.0
2025-01-15,Keyboard,West,20,45,0.0,900.0
2025-01-15,Keyboard,North,24,45,0.1,972.0
2025-01-15,Keyboard,South,16,45,0.0,720.0
2025-01-15,Keyboard,East,11,45,0.0,495.0
2025-01-15,Mouse,West,30,25,0.05,712.5
2025-01-15,Mouse,North,40,25,0.0,1000.0
2025-01-15,Mouse,South,19,25,0.0,475.0
2025-01-15,Mouse,East,29,25,0.05,688.75
2025-01-15,Headset,West,10,60,0.05,570.0
2025-01-15,Headset,North,11,60,0.0,660.0
2025-01-15,Headset,South,10,60,0.0,600.0
2025-01-15,Headset,East,13,60,0.05,741.0
2025-01-15,Printer,West,2,180,0.05,342.0
2025-01-15,Printer,North,7,180,0.0,1260.0
2025-01-15,Printer,South,5,180,0.0,900.0
2025-01-15,Printer,East,7,180,0.0,1260.0
2025-01-15,Router,West,18,80,0.0,1440.0
2025-01-15,Router,North,16,80,0.05,1216.0
2025-01-15,Router,South,16,80,0.05,1216.0
2025-01-15,Router,East,18,80,0.05,1368.0
2025-01-15,Webcam,West,12,55,0.05,627.0
2025-01-15,Webcam,North,3,55,0.0,165.0
2025-01-15,Webcam,South,9,55,0.05,470.25
2025-01-15,Webcam,East,9,55,0.1,445.5
2025-01-16,Laptop,West,12,650,0.05,7410.0
2025-01-16,Laptop,North,3,650,0.1,1755.0
2025-01-16,Laptop,South,12,650,0.1,7020.0
2025-01-16,Laptop,East,8,650,0.0,5200.0
2025-01-16,Monitor,West,19,220,0.0,4180.0
2025-01-16,Monitor,North,9,220,0.1,1782.0
2025-01-16,Monitor,South,7,220,0.1,1386.0
2025-01-16,Monitor,East,11,220,0.15,2057.0
2025-01-16,Keyboard,West,18,45,0.0,810.0
2025-01-16,Keyboard,North,15,45,0.05,641.25
2025-01-16,Keyboard,South,29,45,0.05,1239.75
2025-01-16,Keyboard,East,19,45,0.0,855.0
2025-01-16,Mouse,West,34,25,0.0,850.0
2025-01-16,Mouse,North,24,25,0.1,540.0
2025-01-16,Mouse,South,22,25,0.05,522.5
2025-01-16,Mouse,East,18,25,0.05,427.5
2025-01-16,Headset,West,10,60,0.05,570.0
2025-01-16,Headset,North,21,60,0.0,1260.0
2025-01-16,Headset,South,12,60,0.05,684.0
2025-01-16,Headset,East,16,60,0.05,912.0
2025-01-16,Printer,West,13,180,0.0,2340.0
2025-01-16,Printer,North,10,180,0.05,1710.0
2025-01-16,Printer,South,3,180,0.05,513.0
2025-01-16,Printer,East,8,180,0.05,1368.0
2025-01-16,Router,West,22,80,0.1,1584.0
2025-01-16,Router,North,15,80,0.0,1200.0
2025-01-16,Router,South,18,80,0.0,1440.0
2025-01-16,Router,East,13,80,0.05,988.0
2025-01-16,Webcam,West,14,55,0.05,731.5
2025-01-16,Webcam,North,7,55,0.0,385.0
2025-01-16,Webcam,South,8,55,0.05,418.0
2025-01-16,Webcam,East,10,55,0.0,550.0
2025-01-17,Laptop,West,8,650,0.05,4940.0
2025-01-17,Laptop,North,8,650,0.05,4940.0
2025-01-17,Laptop,South,6,650,0.05,3705.0
2025-01-17,Laptop,East,8,650,0.0,5200.0
2025-01-17,Monitor,West,9,220,0.1,1782.0
2025-01-17,Monitor,North,17,220,0.0,3740.0
2025-01-17,Monitor,South,10,220,0.05,2090.0
2025-01-17,Monitor,East,19,220,0.1,3762.0
2025-01-17,Keyboard,West,17,45,0.15,650.25
2025-01-17,Keyboard,North,12,45,0.0,540.0
2025-01-17,Keyboard,South,24,45,0.0,1080.0
2025-01-17,Keyboard,East,19,45,0.0,855.0
2025-01-17,Mouse,West,32,25,0.05,760.0
2025-01-17,Mouse,North,22,25,0.0,550.0
2025-01-17,Mouse,South,19,25,0.05,451.25
2025-01-17,Mouse,East,23,25,0.0,575.0
2025-01-17,Headset,West,7,60,0.05,399.0
2025-01-17,Headset,North,14,60,0.0,840.0
2025-01-17,Headset,South,18,60,0.0,1080.0
2025-01-17,Headset,East,14,60,0.05,798.0
2025-01-17,Printer,West,7,180,0.1,1134.0
2025-01-17,Printer,North,10,180,0.1,1620.0
2025-01-17,Printer,South,2,180,0.0,360.0
